tw04_function	tw04_address	size	tw2003_address
__check_pad3	80003100	40	80003100
__start	80003140	138	80003140
__init_data	80003294	C0	80003294
__flush_cache	80003374	34	80003374
memcpy	80003490	50	80003490
TRK_exception_vectors	80003534	1F34	80003534
Mem_cpy	80005628	25C	800056F0
fn_80005BE8	80005BE8	60	80005CC0
fn_80005C48	80005C48	48	80005D20
fn_80005C90	80005C90	80	80005D68
fn_80005D10	80005D10	1B0	80005DE8
fn_80006444	80006444	34	800064D0
File_ReadAsyncEx	80006478	138	80006504
fn_800067E4	800067E4	2B4	8000673C
fn_80006DF4	80006DF4	84	80006D48
fn_80006E78	80006E78	50	80006DCC
fn_80006EDC	80006EDC	10C	80006E30
fn_80007930	80007930	6C	80007844
fn_800080D4	800080D4	F0	80007DB8
Quat_GetNorm	80008EF0	30	80008A2C
Quat_Conjugate	80008F9C	30	80008AD8
Quat_Multiply	80008FCC	D4	80008B08
Quat_Add	800090A0	44	80008BDC
Quat_RotateVector	800090E4	68	80008C20
fn_8000977C	8000977C	48	8000933C
fn_8000991C	8000991C	A0	800094A4
fn_800099BC	800099BC	A4	80009544
fn_80009A60	80009A60	D4	800095E8
fn_80009E04	80009E04	6C	80009970
fn_8000A6C8	8000A6C8	4C	8000A348
fn_8000A714	8000A714	84	8000A394
fn_8000AF20	8000AF20	38	8000A5B4
AllocPoolMem	8000B078	5C	8000A6E8
ReturnPoolMem	8000B0D4	5C	8000A744
Misc_PMRand	8000B194	40	8000A840
Misc_CreateRandomSeed_Internal	8000B264	54	8000A938
fn_8000B46C	8000B46C	44	8000A9B8
fn_8000B4B8	8000B4B8	50	8000AA04
fn_8000B508	8000B508	44	8000AA54
fn_8000B54C	8000B54C	3C	8000AA98
fn_8000B588	8000B588	B4	8000AAD4
fn_8000B63C	8000B63C	50	8000AB88
fn_8000B68C	8000B68C	80	8000ABD8
fn_8000B70C	8000B70C	3C	8000AC58
fn_8000B830	8000B830	54	8000AD7C
fn_8000BF9C	8000BF9C	118	8000B418
fn_8000C104	8000C104	3C	8000B584
fn_8000C278	8000C278	B0	8000B6C4
fn_8000C328	8000C328	A0	8000B774
