kind	string	address	disc	in_tw04
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F7710	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F77AC	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F7908	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
message	WARNING: Camera thinks ball moved more than 1000 yards in one frame!	801F7ADC	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F7CF8	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Cameras/GoCamTuningVars.c	801F7D88	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F7E94	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Cameras/GoComicCam.c	801F7F24	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F80A8	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8138	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Cameras/GoDynamicCam.c	801F81C8	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8580	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Cameras/GoGolfCam.c	801F861C	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8B90	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Cameras/GoStaticCam.c	801F8C68	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
message	Static Cam: %d	801F8CC0	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	yes
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8D28	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/EASportsShared/EASportsBio.c	801F8DB8	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8E30	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/SFX/Headers/SFX_GameInterface.h	801F8ECC	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/Entry/GoEntry.c	801F8F24	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F8F74	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/SFX/Headers/SFX_GameInterface.h	801F9010	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9088	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9130	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9230	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F92C0	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9368	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
message	%d/%d/%d	801F9498	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	yes
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F94B0	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F95D4	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	c:/dev/Golf_2005/Tigercode/Code/Golf/GameMode/CourseTable.cpp	801F9664	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F96A4	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9734	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F97C8	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F99F0	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9BBC	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
path	../../../Golf/Lo-Rendering/Shader/ShaderObject/ShaderObjectCommon/Gc/Headers/GoShaderObjectCommon_DynamicRenderingBuffer_Gc.h	801F9C60	Tiger Woods PGA Tour 2005 (USA) (Disc 1)	no
